symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2019-10-01 00:00:00+00:00,175.81,179.84,174.88,179.15,17261556,175.81,0.0,179.84,174.88,179.15,1.0,17261556
FB,2019-10-02 00:00:00+00:00,174.6,176.53,173.09,174.84,16374148,174.6,0.0,176.53,173.09,174.84,1.0,16374148
FB,2019-10-03 00:00:00+00:00,179.38,179.84,173.63,175.57,16789319,179.38,0.0,179.84,173.63,175.57,1.0,16789319
FB,2019-10-04 00:00:00+00:00,180.45,180.98,178.1,179.55,10476395,180.45,0.0,180.98,178.1,179.55,1.0,10476395
FB,2019-10-07 00:00:00+00:00,179.68,181.18,178.09,180.0,9359793,179.68,0.0,181.18,178.09,180.0,1.0,9359793
FB,2019-10-08 00:00:00+00:00,177.75,180.37,177.72,178.26,10084896,177.75,0.0,180.37,177.72,178.26,1.0,10084896
FB,2019-10-09 00:00:00+00:00,179.85,180.72,177.94,179.16,7648874,179.85,0.0,180.72,177.94,179.16,1.0,7648874
FB,2019-10-10 00:00:00+00:00,180.03,181.61,179.17,180.32,8980978,180.03,0.0,181.61,179.17,180.32,1.0,8980978
FB,2019-10-11 00:00:00+00:00,184.19,186.49,182.14,182.15,14998754,184.19,0.0,186.49,182.14,182.15,1.0,14998754
FB,2019-10-14 00:00:00+00:00,183.28,184.62,182.5735,184.2,7203665,183.28,0.0,184.62,182.5735,184.2,1.0,7203665
FB,2019-10-15 00:00:00+00:00,188.89,190.38,183.66,183.8,15143119,188.89,0.0,190.38,183.66,183.8,1.0,15143119
FB,2019-10-16 00:00:00+00:00,189.55,189.7,186.9002,188.32,10560343,189.55,0.0,189.7,186.9002,188.32,1.0,10560343
FB,2019-10-17 00:00:00+00:00,190.39,190.84,188.765,190.3,9761548,190.39,0.0,190.84,188.765,190.3,1.0,9761548
FB,2019-10-18 00:00:00+00:00,185.85,191.49,183.9239,190.23,16584992,185.85,0.0,191.49,183.9239,190.23,1.0,16584992
FB,2019-10-21 00:00:00+00:00,189.76,189.91,186.75,187.04,8122598,189.76,0.0,189.91,186.75,187.04,1.0,8122598
FB,2019-10-22 00:00:00+00:00,182.34,190.65,181.5,190.0,19854192,182.34,0.0,190.65,181.5,190.0,1.0,19854192
FB,2019-10-23 00:00:00+00:00,186.15,186.38,182.0,182.01,12370819,186.15,0.0,186.38,182.0,182.01,1.0,12370819
FB,2019-10-24 00:00:00+00:00,186.38,186.73,182.8,184.62,11505406,186.38,0.0,186.73,182.8,184.62,1.0,11505406
FB,2019-10-25 00:00:00+00:00,187.89,189.0,185.0876,185.83,8061240,187.89,0.0,189.0,185.0876,185.83,1.0,8061240
FB,2019-10-28 00:00:00+00:00,189.4,189.53,185.08,187.2,13377192,189.4,0.0,189.53,185.08,187.2,1.0,13377192
FB,2019-10-29 00:00:00+00:00,189.31,192.53,188.47,191.69,13574874,189.31,0.0,192.53,188.47,191.69,1.0,13574874
FB,2019-10-30 00:00:00+00:00,188.25,190.45,185.98,189.56,28734559,188.25,0.0,190.45,185.98,189.56,1.0,28734559
FB,2019-10-31 00:00:00+00:00,191.65,198.09,188.25,196.7,42286529,191.65,0.0,198.09,188.25,196.7,1.0,42286529
FB,2019-11-01 00:00:00+00:00,193.62,194.11,189.91,192.85,21711829,193.62,0.0,194.11,189.91,192.85,1.0,21711829
FB,2019-11-04 00:00:00+00:00,194.72,197.3672,193.8119,194.55,16371292,194.72,0.0,197.3672,193.8119,194.55,1.0,16371292
FB,2019-11-05 00:00:00+00:00,194.32,195.75,193.6,195.37,9941954,194.32,0.0,195.75,193.6,195.37,1.0,9941954
FB,2019-11-06 00:00:00+00:00,191.55,194.37,191.35,194.03,10973019,191.55,0.0,194.37,191.35,194.03,1.0,10973019
FB,2019-11-07 00:00:00+00:00,190.42,193.44,189.47,191.91,13472998,190.42,0.0,193.44,189.47,191.91,1.0,13472998
FB,2019-11-08 00:00:00+00:00,190.84,192.34,189.7,190.0,10764784,190.84,0.0,192.34,189.7,190.0,1.0,10764784
FB,2019-11-11 00:00:00+00:00,189.61,190.08,188.54,189.93,8637768,189.61,0.0,190.08,188.54,189.93,1.0,8637768
FB,2019-11-12 00:00:00+00:00,194.47,195.06,189.74,190.0,17615454,194.47,0.0,195.06,189.74,190.0,1.0,17615454
FB,2019-11-13 00:00:00+00:00,193.19,195.7,192.74,194.7,11009800,193.19,0.0,195.7,192.74,194.7,1.0,11009800
